Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-245.57481	143.96136	17.1964	-518.7916	107.28261	0.009675211	0.14850606	0.32964778	-0.8034326	5000	-5.1879884e-08	20575.97	-0.0134688625	-4353.2637	1.342817	0.013486398	0.1	79.0	5.4209372997283936
1	-176.89119	124.12706	-6.2851815	-582.4361	115.83721	-17.008465	5.176232	-11.036609	-49.34576	10000	0.0	8871.434	-0.015269311	-5445.108	1.3321079	0.015647074	0.092	33.0	10.724886894226074
2	-135.39256	89.33886	13.775488	-347.71237	114.441864	-72.28552	10.946183	-27.818361	-208.53319	15000	-3.051758e-08	2738.379	-0.0212092	-438.38135	1.3097031	0.009122189	0.1262	79.0	15.818763017654419
3	-137.11154	95.565636	9.175975	-433.66385	134.72974	-66.828186	9.082076	-41.11295	-134.08287	20000	-1.8310548e-08	2956.8276	-0.01722779	-429.37158	1.2921702	0.010228003	0.1186	79.0	20.874269008636475
4	-101.39714	91.86514	4.6034093	-356.79626	144.17647	-66.872475	12.339931	-34.6245	-173.74362	25000	-9.155274e-09	2301.75	-0.010356817	-574.95105	1.2767634	0.017703187	0.1986	15.0	25.33595323562622
5	-111.42145	73.86451	11.702712	-264.8367	159.25807	-43.213432	11.2610655	-21.980064	-182.9446	30000	6.1035155e-09	1478.9916	-0.01619703	-88.89636	1.2443376	0.014913	0.2122	36.0	30.041982650756836
6	-148.70995	134.35896	24.780088	-437.1275	193.76	-48.815453	14.803207	-26.762403	-209.4527	35000	2.4414062e-08	3227.5964	-0.020807836	-417.88574	1.1907436	0.010682826	0.1454	79.0	35.1312780380249
7	-81.89389	92.109825	34.94844	-286.0031	205.16667	-55.23865	17.286358	-21.503803	-263.19235	40000	1.373291e-08	2685.5413	-0.016222473	-753.7351	1.1822124	0.009138662	0.1218	79.0	40.3043999671936
8	-69.86213	64.53326	42.609352	-195.7358	226.0	-37.643486	22.506617	-13.22477	-235.50726	45000	1.2207031e-08	1985.3204	-0.01996731	-627.39307	1.1894858	0.014490573	0.1714	79.0	46.246867418289185
9	-21.789255	73.44076	69.76818	-157.85924	624.125	-27.012419	10.540213	-9.650779	-85.97228	50000	1.2207031e-08	1363.8647	-0.017737795	-537.7983	1.2629768	0.009984205	0.1444	79.0	55.9782338142395
10	1.6352162	52.492027	78.456635	-117.17299	537.8889	-7.4475284	3.9307928	-2.0615258	-37.339493	55000	-1.2207031e-08	920.6404	-0.01792016	-163.4555	1.206273	0.010222292	0.1364	79.0	66.73847508430481
11	-27.71048	66.710915	79.89969	-129.3381	514.875	-3.3484094	7.7127333	5.9217706	-49.954082	60000	-3.0517577e-09	834.48816	-0.017344583	-79.62677	1.1678622	0.0065655485	0.0868	79.0	77.20889735221863
12	-0.8214553	43.706333	69.9486	-73.96069	743.0	-5.7817807	8.743194	5.6879096	-44.510685	65000	-8.010864e-09	457.509	-0.014016435	-48.353943	1.1544846	0.0038325668	0.0918	79.0	87.44380474090576
13	55.00471	63.119625	136.18257	-55.854805	804.6667	-0.6703992	9.340053	14.585553	-41.07782	70000	-6.1035155e-09	335.20145	-0.013479021	-25.209534	1.1619549	0.01261762	0.109	79.0	97.4863715171814
14	9.992966	108.66426	122.599945	-187.14304	815.6	1.8363861	11.194135	22.483583	-33.93837	75000	-3.967285e-08	520.7608	-0.011649591	-95.33609	1.1449447	0.0073005296	0.0724	79.0	106.22457122802734
15	59.920025	63.63576	123.42093	-61.154095	892.4	5.0128837	8.271872	20.737848	-27.636135	80000	6.1035155e-09	226.49174	-0.013471295	-10.505066	1.1279081	0.007246468	0.089	79.0	116.631502866745
16	89.52822	27.633766	137.51085	57.578632	1000.0	4.216715	7.6467443	20.464237	-19.590181	85000	2.1362304e-08	175.15826	-0.012573911	-24.978851	1.1199871	0.013380844	0.1052	79.0	126.97020053863525
17	81.11061	40.24293	126.32177	23.485722	1000.0	4.2983694	9.805416	25.083124	-18.748228	90000	6.1035155e-09	145.28568	-0.011119507	-14.57692	1.0836998	0.006136359	0.0938	79.0	137.05083012580872
18	52.537933	102.07705	139.41849	-142.9704	918.2	8.101845	8.136259	27.487797	-13.064495	95000	-1.525879e-08	385.11417	-0.013437909	-57.11606	1.0645055	0.009770646	0.1018	79.0	147.174418926239
19	43.305386	54.336876	110.82956	-54.572956	934.8	4.017713	3.6208584	18.469336	-14.679267	100000	-9.155274e-09	215.131	-0.010724465	-30.33554	1.01001	0.004814803	0.0414	79.0	156.4145860671997
20	-11.768169	51.242874	46.428196	-90.53952	867.0	6.092765	4.412541	24.610641	-13.802318	105000	-1.8310548e-08	412.72437	-0.011829828	-108.3988	1.0046643	0.0042726723	0.0506	79.0	165.53924584388733
21	28.93814	28.775766	84.46631	0.6643189	1000.0	-1.4542472	1.636514	6.176883	-17.763765	110000	6.1035155e-09	109.53248	-0.010904319	-18.500877	1.0185658	0.005910726	0.0888	79.0	175.87678408622742
22	19.44244	56.247494	81.22484	-58.64343	945.8	0.13345689	3.9685802	12.720029	-13.479096	115000	1.5258789e-09	204.69693	-0.013088713	-19.630173	0.98354787	0.008689347	0.0682	79.0	186.11320042610168
23	8.500892	20.560135	35.000137	-22.53027	1000.0	0.31421655	1.9539791	14.481119	-10.260727	120000	-1.6021728e-08	96.9681	-0.007164146	-7.9184036	0.967724	0.001486801	0.0338	79.0	196.5463366508484
24	30.853535	38.1466	80.913864	-21.350334	1000.0	0.075812936	2.6717362	16.015575	-11.235274	125000	0.0	110.739174	-0.008798437	-12.018356	0.96563435	0.0026182693	0.037	79.0	209.4009828567505
25	9.732703	38.06873	76.57652	-37.354313	1000.0	0.9281707	2.8749804	20.22665	-4.794112	130000	-1.449585e-08	94.451866	-0.008676796	-20.39347	0.94447815	0.0077335616	0.0748	79.0	221.96892476081848
26	-11.417847	23.75858	30.944605	-40.03295	1000.0	-1.8064549	4.1918344	18.653206	-11.854478	135000	0.0	80.9413	-0.008096423	-24.746288	0.9204254	0.0070496323	0.0464	79.0	232.71600699424744
27	-47.814323	90.74916	63.98571	-209.2492	991.4	-2.7293823	4.8618526	22.182968	-26.440355	140000	0.0	418.1283	-0.013482208	-152.05295	0.9216	0.004467443	0.0452	79.0	243.12090635299683
28	-14.752423	20.074638	13.251955	-41.85139	1000.0	-9.032127	9.18645	22.507734	-35.582836	145000	2.0980835e-09	128.69589	-0.010961028	-70.4901	0.952167	0.007441835	0.0986	79.0	256.2466080188751
